KATEGORI,KANA,KANJI,ARTI
KATA SIFAT -I (I-KEIYOUSHI),いい,良い,Bagus
KATA SIFAT -I (I-KEIYOUSHI),かわいい,可愛い,Imut
KATA SIFAT -I (I-KEIYOUSHI),とおい,遠い,Jauh
KATA SIFAT -I (I-KEIYOUSHI),あかい,赤い,Merah
KATA SIFAT -I (I-KEIYOUSHI),みじかい,短い,Pendek
KATA SIFAT -I (I-KEIYOUSHI),たかい,高い,Tinggi; mahal
KATA SIFAT -I (I-KEIYOUSHI),ちかい,近い,Dekat
KATA SIFAT -I (I-KEIYOUSHI),とかい,都会,Kota besar
KATA SIFAT -I (I-KEIYOUSHI),こまかい,細かい,Detail / receh (uang)
KATA SIFAT -I (I-KEIYOUSHI),やわらかい,柔らかい,Lembut
KATA SIFAT -I (I-KEIYOUSHI),ながい,長い,Panjang
KATA SIFAT -I (I-KEIYOUSHI),にがい,苦い,Pahit
KATA SIFAT -I (I-KEIYOUSHI),おおきい,大きい,Besar
KATA SIFAT -I (I-KEIYOUSHI),ひくい,低い,Rendah
KATA SIFAT -I (I-KEIYOUSHI),ちいさい,小さい,Kecil
KATA SIFAT -I (I-KEIYOUSHI),うるさい,煩い,Berisik / bising
KATA SIFAT -I (I-KEIYOUSHI),おいしい,美味しい,Enak
KATA SIFAT -I (I-KEIYOUSHI),むずかしい,難しい,Susah / sulit
KATA SIFAT -I (I-KEIYOUSHI),いそがしい,忙しい,Sibuk
KATA SIFAT -I (I-KEIYOUSHI),やさしい,優しい,Baik hati
KATA SIFAT -I (I-KEIYOUSHI),すずしい,涼しい,Sejuk
KATA SIFAT -I (I-KEIYOUSHI),きびしい,厳しい,Disiplin / tegas
KATA SIFAT -I (I-KEIYOUSHI),さびしい,寂しい,Kesepian
KATA SIFAT -I (I-KEIYOUSHI),ほしい,欲しい,Ingin
KATA SIFAT -I (I-KEIYOUSHI),めずらしい,珍しい,Aneh / langka
KATA SIFAT -I (I-KEIYOUSHI),あたらしい,新しい,Baru
KATA SIFAT -I (I-KEIYOUSHI),うすい,薄い,Tipis
KATA SIFAT -I (I-KEIYOUSHI),まずい,不味い,Tidak enak*
KATA SIFAT -I (I-KEIYOUSHI),おそい,遅い,Lambat
KATA SIFAT -I (I-KEIYOUSHI),ほそい,細い,Kurus / tipis
KATA SIFAT -I (I-KEIYOUSHI),いたい,痛い,Sakit
KATA SIFAT -I (I-KEIYOUSHI),かたい,固い,Keras
KATA SIFAT -I (I-KEIYOUSHI),あつい,厚い,Tebal (dimensi benda pipih)
KATA SIFAT -I (I-KEIYOUSHI),あつい,暑い,Panas (suhu cuaca / udara)
KATA SIFAT -I (I-KEIYOUSHI),ふとい,太い,Gemuk
KATA SIFAT -I (I-KEIYOUSHI),きたない,汚い,Kotor
KATA SIFAT -I (I-KEIYOUSHI),あまい,甘い,Manis
KATA SIFAT -I (I-KEIYOUSHI),せまい,狭い,Sempit
KATA SIFAT -I (I-KEIYOUSHI),さむい,寒い,Dingin
KATA SIFAT -I (I-KEIYOUSHI),おもい,重い,Berat
KATA SIFAT -I (I-KEIYOUSHI),はやい,早い / 速い,Cepat
KATA SIFAT -I (I-KEIYOUSHI),つよい,強い,Kuat
KATA SIFAT -I (I-KEIYOUSHI),からい,辛い,Pedas
KATA SIFAT -I (I-KEIYOUSHI),くらい,暗い,Gelap
KATA SIFAT -I (I-KEIYOUSHI),かるい,軽い,Ringan
KATA SIFAT -I (I-KEIYOUSHI),あかるい,明るい,Terang
KATA SIFAT -I (I-KEIYOUSHI),だるい,怠い,Lemas
KATA SIFAT -I (I-KEIYOUSHI),ふるい,古い,Lama; usang; tua
KATA SIFAT -I (I-KEIYOUSHI),まるい,丸い,Bulat
KATA SIFAT -I (I-KEIYOUSHI),わるい,悪い,Jelek
KATA SIFAT -I (I-KEIYOUSHI),くろい,黒い,Hitam
KATA SIFAT -I (I-KEIYOUSHI),しろい,白い,Putih
KATA SIFAT -I (I-KEIYOUSHI),ひろい,広い,Luas
KATA SIFAT -I (I-KEIYOUSHI),こわい,怖い,Takut / menakutkan
KATA SIFAT -I (I-KEIYOUSHI),よわい,弱い,Lemah
KATA SIFAT -NA (NA-KEIYOUSHI),まあまあ(な),,Lumayan
KATA SIFAT -NA (NA-KEIYOUSHI),きれい(な),綺麗(な),Cantik; bersih
KATA SIFAT -NA (NA-KEIYOUSHI),けっこう(な),結構(な),Cukup
KATA SIFAT -NA (NA-KEIYOUSHI),しずか(な),静か(な),Tenang
KATA SIFAT -NA (NA-KEIYOUSHI),ばか(な),馬鹿(な),Bodoh
KATA SIFAT -NA (NA-KEIYOUSHI),にぎやか(な),賑やか(な),Ramai
KATA SIFAT -NA (NA-KEIYOUSHI),おおき(な),大き(な),Besar
KATA SIFAT -NA (NA-KEIYOUSHI),すき(な),好き(な),Suka
KATA SIFAT -NA (NA-KEIYOUSHI),げんき(な),元気(な),Sehat / aktif
KATA SIFAT -NA (NA-KEIYOUSHI),ちいさ(な),小さ(な),Kecil
KATA SIFAT -NA (NA-KEIYOUSHI),だいじ(な),大事(な),Penting
KATA SIFAT -NA (NA-KEIYOUSHI),たいせつ(な),大切(な),Penting
KATA SIFAT -NA (NA-KEIYOUSHI),しんせつ(な),親切(な),Baik hati
KATA SIFAT -NA (NA-KEIYOUSHI),じょうぶ(な),丈夫(な),Kokoh
KATA SIFAT -NA (NA-KEIYOUSHI),だいじょうぶ(な),大丈夫(な),Baik-baik saja
KATA SIFAT -NA (NA-KEIYOUSHI),わがまま(な),我儘(な),Egois
KATA SIFAT -NA (NA-KEIYOUSHI),べんり(な),便利(な),Praktis
KATA SIFAT -NA (NA-KEIYOUSHI),きけん(な),危険(な),Bahaya
KATA SIFAT -NA (NA-KEIYOUSHI),あんぜん(な),安全(な),Aman
KATA SIFAT -NA (NA-KEIYOUSHI),かんたん(な),簡単(な),Mudah
KATA SIFAT -NA (NA-KEIYOUSHI),ざんねん(な),残念(な),(rasa kecewa)
KATA SIFAT -NA (NA-KEIYOUSHI),へん(な),変(な),Aneh
KATA SIFAT -NA (NA-KEIYOUSHI),ふべん(な),不便(な),Tidak praktis
KATA SIFAT -NA (NA-KEIYOUSHI),ハンサム(な),,Tampan
KATA SIFAT -NA (NA-KEIYOUSHI),きらい,嫌い,Benci
KELUARGA & HUBUNGAN SOSIAL,しゅと,首都,Ibu kota
"""TEMPAT, BANGUNAN & FASILITAS""",ゆうびんきょく,郵便局,Kantor pos
"""TEMPAT, BANGUNAN & FASILITAS""",としょかん,図書館,Perpustakaan
INFRASTRUKTUR & TATA KOTA,バスてい,バス停,Halte bus
INFRASTRUKTUR & TATA KOTA,くうこう,空港,Bandara
INFRASTRUKTUR & TATA KOTA,みち,道,Jalan
INFRASTRUKTUR & TATA KOTA,ひろば,広場,Lapangan
INFRASTRUKTUR & TATA KOTA,こうえん,公園,Taman
INFRASTRUKTUR & TATA KOTA,かいだん,階段,Tangga
INFRASTRUKTUR & TATA KOTA,エスカレーター,,Eskalator
HEWAN & BINATANG,どうぶつえん,動物園,Kebun binatang
ANGGOTA TUBUH & ANATOMI,たいちょう,体調,Kondisi tubuh
ANGGOTA TUBUH & ANATOMI,かお,顔,Wajah
ANGGOTA TUBUH & ANATOMI,まつげ,睫毛,Bulu mata
ANGGOTA TUBUH & ANATOMI,ひげ,髭,Jenggot
ANGGOTA TUBUH & ANATOMI,くちひげ,口髭,Kumis
ANGGOTA TUBUH & ANATOMI,まゆげ,眉毛,Alis
ANGGOTA TUBUH & ANATOMI,ひざ,膝,Lutut
ANGGOTA TUBUH & ANATOMI,あし,足,Kaki
ANGGOTA TUBUH & ANATOMI,ちょうし,調子,Kondisi tubuh
ANGGOTA TUBUH & ANATOMI,ひじ,肘,Siku
ANGGOTA TUBUH & ANATOMI,せ,背,Punggung / badan
ANGGOTA TUBUH & ANATOMI,かた,肩,Bahu
ANGGOTA TUBUH & ANATOMI,はだ,肌,Kulit
ANGGOTA TUBUH & ANATOMI,からだ,体,Badan / tubuh
ANGGOTA TUBUH & ANATOMI,くち,口,Mulut
ANGGOTA TUBUH & ANATOMI,て,手,Tangan
ANGGOTA TUBUH & ANATOMI,うで,腕,Lengan
ANGGOTA TUBUH & ANATOMI,はな,鼻,Hidung
ANGGOTA TUBUH & ANATOMI,むね,胸,Dada
ANGGOTA TUBUH & ANATOMI,は,歯,Gigi
ANGGOTA TUBUH & ANATOMI,くび,首,Leher
ANGGOTA TUBUH & ANATOMI,ゆび,指,Jari
ANGGOTA TUBUH & ANATOMI,あたま,頭,Kepala
ANGGOTA TUBUH & ANATOMI,かみ,髪,Rambut
ANGGOTA TUBUH & ANATOMI,みみ,耳,Telinga
ANGGOTA TUBUH & ANATOMI,め,目,Mata
ALAT TULIS & PERLENGKAPAN KANTOR,ちず,地図,Peta
ALAT ELEKTRONIK & MESIN,けいたい,携帯,HP
SENI & ESTETIKA,いろ,色,Warna
KATA TANYA (GIMONSHI),どう,,Bagaimana
KATA TANYA (GIMONSHI),いかが,如何,Bagaimana
KATA TANYA (GIMONSHI),どんな,,(KB) yang bagaimana
KOSAKATA SERAPAN (KATAKANA),ジャカルタ,,Jakarta
KOSAKATA SERAPAN (KATAKANA),ジョグジャカルタ,,Yogyakarta
KOSAKATA SERAPAN (KATAKANA),スラバヤ,,Surabaya
KOSAKATA SERAPAN (KATAKANA),バリ,,Bali
KOSAKATA SERAPAN (KATAKANA),ターミナル,,Terminal
