KATEGORI,KANA,KANJI,ARTI
KATA KERJA GOL. 1 (GODAN),ちがいます,違います,Salah / berbeda
KATA KERJA GOL. 1 (GODAN),すんでいます,住んでいます,Tinggal / bermukim
KATA KERJA GOL. 3 (FUKISOKU),きました,来ました,Datang
KATA GANTI ORANG & SUBJEK,おまえ,お前,Kamu (kasar)
KATA GANTI ORANG & SUBJEK,わたし,私,Saya
KATA GANTI ORANG & SUBJEK,あのかた,あの方,Orang itu (lebih sopan)
KATA GANTI ORANG & SUBJEK,あなた,貴方,Kamu
KATA GANTI ORANG & SUBJEK,わたしたち,私たち,Kami
KATA GANTI ORANG & SUBJEK,ちち,父,Ayah (saya)
KATA GANTI ORANG & SUBJEK,おとうと,弟,Adik laki-laki (saya)
KATA GANTI ORANG & SUBJEK,いもうと,妹,Adik perempuan (saya)
KATA GANTI ORANG & SUBJEK,あのひと,あの人,Orang itu
KATA GANTI ORANG & SUBJEK,あに,兄,Kakak laki-laki (saya)
KATA GANTI ORANG & SUBJEK,あね,姉,Kakak perempuan (saya)
KATA GANTI ORANG & SUBJEK,はは,母,Ibu (saya)
KATA GANTI ORANG & SUBJEK,きみ,君,Kamu
KATA GANTI ORANG & SUBJEK,こども,子供,Anak (saya)
KATA GANTI ORANG & SUBJEK,かのじょ,彼女,Dia (perempuan)
KATA GANTI ORANG & SUBJEK,かれら,彼ら,Mereka
KATA GANTI ORANG & SUBJEK,おれ,俺,Saya (kasar)
KATA GANTI ORANG & SUBJEK,かれ,彼,Dia (laki-laki)
KATA GANTI ORANG & SUBJEK,〜さん,,Mr. / Mrs.~ (orang)
KATA GANTI ORANG & SUBJEK,おかあさん,お母さん,Ibu (orang)
KATA GANTI ORANG & SUBJEK,おばあさん,お祖母さん,Nenek (orang)
KATA GANTI ORANG & SUBJEK,おじいさん,お祖父さん,Kakek (orang)
KATA GANTI ORANG & SUBJEK,おとうさん,お父さん,Ayah (orang)
KATA GANTI ORANG & SUBJEK,おくさん,奥さん,Istri (orang)
KATA GANTI ORANG & SUBJEK,おこさん,お子さん,Anak (orang)
KATA GANTI ORANG & SUBJEK,みなさん,皆さん,Kalian semua
KATA GANTI ORANG & SUBJEK,りょうしん,両親,Orang tua
KATA GANTI ORANG & SUBJEK,ごしゅじん,ご主人,Suami (orang)
KELUARGA & HUBUNGAN SOSIAL,おい,甥,Keponakan laki-laki
KELUARGA & HUBUNGAN SOSIAL,きょうだい,兄弟,Saudara
KELUARGA & HUBUNGAN SOSIAL,しまい,姉妹,Saudara perempuan
