KATEGORI,KANA,KANJI,ARTI
KATA KERJA GOL. 1 (GODAN),かいます,買います,Membeli
KATA KERJA GOL. 1 (GODAN),あらいます,洗います,Mencuci
KATA KERJA GOL. 1 (GODAN),いきます,行きます,Pergi
KATA KERJA GOL. 1 (GODAN),はたらきます,働きます,Bekerja
KATA KERJA GOL. 1 (GODAN),シャワーをあびます,シャワーを浴びます,Mandi
KATA KERJA GOL. 1 (GODAN),やすみます,休みます,Libur
KATA KERJA GOL. 1 (GODAN),よみます,読みます,Membaca
KATA KERJA GOL. 1 (GODAN),うります,売ります,Menjual
KATA KERJA GOL. 1 (GODAN),かえります,帰ります,Pulang
KATA KERJA GOL. 1 (GODAN),もどります,戻ります,Kembali
KATA KERJA GOL. 1 (GODAN),はじまります,始まります,Mulai
KATA KERJA GOL. 1 (GODAN),おわります,終ります,Selesai
KATA KERJA GOL. 2 (ICHIDAN),うえます,植えます,Menanam
KATA KERJA GOL. 2 (ICHIDAN),おきます,起きます,Bangun tidur
KATA KERJA GOL. 2 (ICHIDAN),でかけます,出かけます,Pergi
KATA KERJA GOL. 2 (ICHIDAN),ねます,寝ます,Tidur
KATA KERJA GOL. 3 (FUKISOKU),きます,来ます,Datang
KATA KERJA GOL. 3 (FUKISOKU),あんないします,案内します,Memandu
KATA KERJA GOL. 3 (FUKISOKU),うんどうします,運動します,Olah raga
KATA KERJA GOL. 3 (FUKISOKU),ねぼうします,寝坊します,Bangun siang
KATA KERJA GOL. 3 (FUKISOKU),べんきょうします,勉強します,Belajar
KATA KERJA GOL. 3 (FUKISOKU),えいぎょうします,営業します,Beroperasi
KATA KERJA GOL. 3 (FUKISOKU),さぎょうします,作業します,Kerja
KATA KERJA GOL. 3 (FUKISOKU),ざんぎょうします,残業します,Lembur
KATA KERJA GOL. 3 (FUKISOKU),せんたくします,洗濯します,Mencuci baju
KATA KERJA GOL. 3 (FUKISOKU),そうじします,掃除します,Bersih-bersih
KATA KERJA GOL. 3 (FUKISOKU),しょくじします,食事します,Makan
KATA KERJA GOL. 3 (FUKISOKU),しごとします,仕事します,Bekerja
KATA KERJA GOL. 3 (FUKISOKU),かいものします,買い物します,Belanja
KATA KERJA GOL. 3 (FUKISOKU),さんぽします,散歩します,Jalan-jalan
KATA KERJA GOL. 3 (FUKISOKU),りょうりします,料理します,Memasak
KATA KERJA GOL. 3 (FUKISOKU),ゆっくりします,,Bersantai
KATA KERJA GOL. 3 (FUKISOKU),おいのりします,お祈りします,Berdoa
KATA KERJA GOL. 3 (FUKISOKU),ごろごろします,,Bermalas-malasan
KATA KERJA GOL. 3 (FUKISOKU),つりをします,釣りをする,Memancing
KATA KERJA GOL. 3 (FUKISOKU),ジョギングします,,Jogging
KATA KERJA GOL. 3 (FUKISOKU),スポーツします,,Berolahraga
KATA BENDA VERBAL (SURU-MEISHI),しょくじ,食事,Makan
"""TEMPAT, BANGUNAN & FASILITAS""",しょくどう,食堂,Kantin
"""TEMPAT, BANGUNAN & FASILITAS""",はたけ,畑,Sawah / ladang
"""TEMPAT, BANGUNAN & FASILITAS""",みせ,店,Toko
"""TEMPAT, BANGUNAN & FASILITAS""",たんぼ,田んぼ,Sawah
"""TEMPAT, BANGUNAN & FASILITAS""",〜や,〜屋,Kedai~
"""TEMPAT, BANGUNAN & FASILITAS""",いざかや,居酒屋,Bar
"""TEMPAT, BANGUNAN & FASILITAS""",たいしかん,大使館,Kantor kedutaan
"""TEMPAT, BANGUNAN & FASILITAS""",カフェ,,Kafe
"""TEMPAT, BANGUNAN & FASILITAS""",デパート,,Pasar raya
"""TEMPAT, BANGUNAN & FASILITAS""",コンビニ,,Minimarket
"""TEMPAT, BANGUNAN & FASILITAS""",レストラン,,Restoran
"""TEMPAT, BANGUNAN & FASILITAS""",スーパー,,Supermarket
MAKANAN (DAGING & SEAFOOD),いか,烏賊,Cumi-cumi
MAKANAN (DAGING & SEAFOOD),うなぎ,鰻,Belut
MAKANAN (DAGING & SEAFOOD),たこ,蛸,Gurita
MAKANAN (DAGING & SEAFOOD),かに,蟹,Kepiting
MAKANAN (DAGING & SEAFOOD),えび,蝦 / 海老,Udang
"""MAKANAN (SAYURAN, BUMBU & BUAH)""",らっかせい,落花生,Kacang tanah
"""MAKANAN (SAYURAN, BUMBU & BUAH)""",ぶどう,葡萄,Anggur
"""MAKANAN (SAYURAN, BUMBU & BUAH)""",かき,柿,Kesemek
"""MAKANAN (SAYURAN, BUMBU & BUAH)""",いちご,苺,Stroberi
"""MAKANAN (SAYURAN, BUMBU & BUAH)""",りんご,林檎,Apel
"""MAKANAN (SAYURAN, BUMBU & BUAH)""",なし,梨,Pir
"""MAKANAN (SAYURAN, BUMBU & BUAH)""",くだもの,果物,Buah-buahan
"""MAKANAN (SAYURAN, BUMBU & BUAH)""",うめ,梅,Buah ume
