KATEGORI,KANA,KANJI,ARTI
KATA KERJA GOL. 1 (GODAN),うたいます,歌います,Bernyanyi
KATA KERJA GOL. 1 (GODAN),てつだいます,手伝います,Membantu
KATA KERJA GOL. 1 (GODAN),ならいます,習います,Mempelajari
KATA KERJA GOL. 1 (GODAN),わらいます,笑います,Tertawa
KATA KERJA GOL. 1 (GODAN),かきます,描きます,Menggambar
KATA KERJA GOL. 1 (GODAN),きがつきます,気が付きます,Menyadari
KATA KERJA GOL. 1 (GODAN),ひきます,弾きます,Bermain (musik)
KATA KERJA GOL. 1 (GODAN),ぬぎます,脱ぎます,Melepas (baju)
KATA KERJA GOL. 1 (GODAN),うちます,打ちます,Memukul
KATA KERJA GOL. 1 (GODAN),たちます,立ちます,Berdiri
KATA KERJA GOL. 1 (GODAN),よろこびます,喜びます,Berbahagia
KATA KERJA GOL. 1 (GODAN),まなびます,学びます,Belajar
KATA KERJA GOL. 1 (GODAN),よびます,呼びます,Memanggil
KATA KERJA GOL. 1 (GODAN),ゆきがふります,雪が降ります,Turun salju
KATA KERJA GOL. 1 (GODAN),あめがふります,雨が降ります,Turun hujan
KATA KERJA GOL. 1 (GODAN),のぼります,登ります,Mendaki (gunung)
KATA KERJA GOL. 1 (GODAN),やります,遣ります,Melakukan
KATA KERJA GOL. 1 (GODAN),かわります,変わります,Berubah
KATA KERJA GOL. 2 (ICHIDAN),かんがえます,考えます,Memikirkan
KATA KERJA GOL. 2 (ICHIDAN),おしえます,教えます,Mengajari
KATA KERJA GOL. 2 (ICHIDAN),こたえます,答えます,Menjawab
KATA KERJA GOL. 2 (ICHIDAN),おぼえます,覚えます,Mengingat
KATA KERJA GOL. 2 (ICHIDAN),うけます,受けます,Mengikuti (ujian)
KATA KERJA GOL. 2 (ICHIDAN),きをつけます,気を付けます,Berhati-hati
KATA KERJA GOL. 2 (ICHIDAN),たてます,建てます,Mendirikan
KATA KERJA GOL. 2 (ICHIDAN),くらべます,比べます,Membandingkan
KATA KERJA GOL. 2 (ICHIDAN),しらべます,調べます,Mencari tahu
KATA KERJA GOL. 2 (ICHIDAN),あつめます,集めます,Mengumpulkan
KATA KERJA GOL. 3 (FUKISOKU),しっぱいします,失敗します,Gagal (ujian)
KATA KERJA GOL. 3 (FUKISOKU),せつめいします,説明します,Menjelaskan
KATA KERJA GOL. 3 (FUKISOKU),りょこうします,旅行します,Jalan-jalan / traveling
KATA KERJA GOL. 3 (FUKISOKU),けんきゅうします,研究します,Meneliti
KATA KERJA GOL. 3 (FUKISOKU),ふくしゅうします,復習します,Mengulang
KATA KERJA GOL. 3 (FUKISOKU),れんしゅうします,練習します,Berlatih
KATA KERJA GOL. 3 (FUKISOKU),そつぎょうします,卒業します,Lulus (sekolah)
KATA KERJA GOL. 3 (FUKISOKU),こしょうします,故障します,Rusak
KATA KERJA GOL. 3 (FUKISOKU),けんがくします,見学します,Mengamati
KATA KERJA GOL. 3 (FUKISOKU),おしゃべりします,お喋りします,Mengobrol
KATA KERJA GOL. 3 (FUKISOKU),ちゅうもんします,注文します,Memesan
KATA KERJA GOL. 3 (FUKISOKU),しつもんします,質問します,Bertanya
KATA BENDA VERBAL (SURU-MEISHI),かいもの,買い物,Belanja
KATA BENDA VERBAL (SURU-MEISHI),どくしょ,読書,Membaca
KATA BENDA VERBAL (SURU-MEISHI),りょうり,料理,Memasak
KATA BENDA VERBAL (SURU-MEISHI),スポーツ,,Olah raga
KATA GANTI ORANG & SUBJEK,しりあい,知り合い,Kenalan
KATA GANTI ORANG & SUBJEK,どうりょう,同僚,Rekan kerja
KATA GANTI ORANG & SUBJEK,あいて,相手,Lawan /  lawan bicara
KATA GANTI ORANG & SUBJEK,なかま,仲間,Rekan /  kawan
KELUARGA & HUBUNGAN SOSIAL,ゆうじん,友人,Teman dekat
PROFESI & PEKERJAAN,おきゃくさん,お客さん,Pelanggan
ALAT TULIS & PERLENGKAPAN KANTOR,マンガ,漫画,(membaca) komik
KETERANGAN WAKTU TAMBAHAN,あき,秋,Musim gugur
KETERANGAN WAKTU TAMBAHAN,なつ,夏,Musim panas
KETERANGAN WAKTU TAMBAHAN,ふゆ,冬,Musim dingin
KETERANGAN WAKTU TAMBAHAN,はる,春,Musim semi
KOSAKATA SERAPAN (KATAKANA),アニメ,,(nonton) anime
