KATEGORI,KANA,KANJI,ARTI
KATA KERJA GOL. 1 (GODAN),ちがう,違う,Salah / berbeda
KATA KERJA GOL. 1 (GODAN),あしをくじく,足を挫く,Keseleo
KATA KERJA GOL. 1 (GODAN),かぜをひく,風邪を引く,Masuk angin
KATA KERJA GOL. 1 (GODAN),すいます,吸います,Menghisap
KATA KERJA GOL. 1 (GODAN),うごきます,動きます,Bergerak
KATA KERJA GOL. 1 (GODAN),はきます,履きます,Memakai (sepatu)
KATA KERJA GOL. 1 (GODAN),むきます,剥きます,Mengupas
KATA KERJA GOL. 1 (GODAN),いそぎます,急ぎます,Terburu-buru
KATA KERJA GOL. 1 (GODAN),うみます,生みます,Melahirkan
KATA KERJA GOL. 1 (GODAN),まがります,曲がります,Berbelok
KATA KERJA GOL. 1 (GODAN),わたります,渡ります,Menyeberang
KATA KERJA GOL. 1 (GODAN),なくなります,無くなります,Hilang
KATA KERJA GOL. 1 (GODAN),うまくなります,上手くなります,Menjadi mahir
KATA KERJA GOL. 1 (GODAN),とまります,止まります,Berhenti / menginap
KATA KERJA GOL. 1 (GODAN),さわります,触ります,Memegang
KATA KERJA GOL. 1 (GODAN),こむ,混む,Penuh sesak
KATA KERJA GOL. 1 (GODAN),すむ,住む,Tinggal
KATA KERJA GOL. 1 (GODAN),かかる,掛かる,Membutuhkan~
KATA KERJA GOL. 1 (GODAN),びょうきにかかる,病気に掛かる,Sakit
KATA KERJA GOL. 1 (GODAN),インフルエンザにかかる,インフルエンザに掛かる,Terkena flu
KATA KERJA GOL. 1 (GODAN),わかる,分かる,Mengerti
KATA KERJA GOL. 1 (GODAN),しる,知る,Mengetahui
KATA KERJA GOL. 1 (GODAN),のる,乗る,Menaiki
KATA KERJA GOL. 1 (GODAN),おりる,降りる,Menuruni
KATA KERJA GOL. 2 (ICHIDAN),かえます,変えます,Mengubah
KATA KERJA GOL. 2 (ICHIDAN),かけます,掛けます,Menggantungkan
KATA KERJA GOL. 2 (ICHIDAN),つけます,点けます,Menyalakan
KATA KERJA GOL. 2 (ICHIDAN),つけます,付けます,Mengoleskan
KATA KERJA GOL. 2 (ICHIDAN),よごれます,汚れます,Kotor
KATA KERJA GOL. 2 (ICHIDAN),わすれます,忘れます,Melupakan
KATA KERJA GOL. 2 (ICHIDAN),なれます,慣れます,Terbiasa
KATA KERJA GOL. 2 (ICHIDAN),うまれます,生まれます,Lahir
KATA KERJA GOL. 2 (ICHIDAN),こわれます,壊れます,Rusak
KATA KERJA GOL. 2 (ICHIDAN),まちがえる,間違える,Melakukan kesalahan
KATA KERJA GOL. 2 (ICHIDAN),せきがでる,咳が出る,Batuk
KATA KERJA GOL. 2 (ICHIDAN),はなみずがでる,鼻水が出る,Pilek
KATA KERJA GOL. 3 (FUKISOKU),おれいします,お礼します,Berterimakasih
KATA KERJA GOL. 3 (FUKISOKU),おいわいします,お祝いします,Merayakan
KATA KERJA GOL. 3 (FUKISOKU),かえします,返します,Mengembalikan
KATA KERJA GOL. 3 (FUKISOKU),なくします,無くします,Menghilangkan
KATA KERJA GOL. 3 (FUKISOKU),せつやくします,節約します,Berhemat
KATA KERJA GOL. 3 (FUKISOKU),よごします,汚します,Mengotori
KATA KERJA GOL. 3 (FUKISOKU),おもいだします,思い出します,Mengingat
KATA KERJA GOL. 3 (FUKISOKU),かんしゃします,感謝します,Berterimakasih
KATA KERJA GOL. 3 (FUKISOKU),おろします,降ろします,Menarik (uang)
KATA KERJA GOL. 3 (FUKISOKU),まわします,回します,Memutar
KATA KERJA GOL. 3 (FUKISOKU),かくにんします,確認します,Memastikan
KATA KERJA GOL. 3 (FUKISOKU),めまいがする,目眩が為る,Pusing
KATA KERJA GOL. 3 (FUKISOKU),おとがする,音が為る,Bersuara
KATA KERJA GOL. 3 (FUKISOKU),おひきだしをする,お引き出しを為る,Menarik uang
KATA KERJA GOL. 3 (FUKISOKU),しごとをする,仕事を為る,Bekerja
KATA KERJA GOL. 3 (FUKISOKU),つりをする,釣りを為る,Memancing
KATA KERJA GOL. 3 (FUKISOKU),アルバイトをする,アルバイトを為る,Kerja paruh waktu
KATA SIFAT -I (I-KEIYOUSHI),こい,濃い,Kental
KATA SIFAT -I (I-KEIYOUSHI),すごい,凄い,Hebat
KATA SIFAT -I (I-KEIYOUSHI),おかしい,可笑しい,Aneh
KATA SIFAT -I (I-KEIYOUSHI),すばらしい,素晴らしい,Hebat
KATA SIFAT -I (I-KEIYOUSHI),つめたい,冷たい,Dingin
KATA SIFAT -I (I-KEIYOUSHI),あつい,熱い,Panas (suhu benda / objek)
KATA SIFAT -I (I-KEIYOUSHI),つまらない,詰まらない,Membosankan
KATA SIFAT -I (I-KEIYOUSHI),くらい,位,Kira-kira
KATA SIFAT -I (I-KEIYOUSHI),おもしろい,面白い,Menarik
KATA SIFAT -NA (NA-KEIYOUSHI),らく(な),楽(な),Senang
KATA SIFAT -NA (NA-KEIYOUSHI),たいへん(な),大変(な),Berat
KATA GANTI ORANG & SUBJEK,だれか,誰か,Seseorang
KATA GANTI ORANG & SUBJEK,だれでも,誰でも,Siapapun
INFRASTRUKTUR & TATA KOTA,しんごう,信号,Lampu lalu lintas
KONDISI MEDIS & KESEHATAN,けんこう,健康,Kesehatan
KONDISI MEDIS & KESEHATAN,けんこうほけんしょう,健康保険証,Asuransi kesehatan
ALAT ELEKTRONIK & MESIN,いちじかん,一時間,1 jam
ALAT ELEKTRONIK & MESIN,にじかん,二時間,2 jam
ALAT ELEKTRONIK & MESIN,さんじかん,三時間,3 jam
ALAT ELEKTRONIK & MESIN,よじかん,四時間,4 jam
ALAT ELEKTRONIK & MESIN,ごじかん,五時間,5 jam
ALAT ELEKTRONIK & MESIN,ろくじかん,六時間,6 jam
ALAT ELEKTRONIK & MESIN,しちじかん,七時間,7 jam
ALAT ELEKTRONIK & MESIN,はちじかん,八時間,8 jam
ALAT ELEKTRONIK & MESIN,くじかん,九時間,9 jam
ALAT ELEKTRONIK & MESIN,じゅうじかん,十時間,10 jam
ALAT ELEKTRONIK & MESIN,せんたくき,洗濯機,Mesin cuci
ALAT ELEKTRONIK & MESIN,なんじかん？,何時間？,Berapa jam?
FURNITUR & PERALATAN RUMAH,そうじき,掃除機,Vakum cleaner
SENI & ESTETIKA,ぞう,像,Patung
SENI & ESTETIKA,え,絵,Lukisan / Gambar (karya visual)
"""HIBURAN, HOBI & OLAHRAGA""",きょく,曲,Lagu / Melodi (komposisi musik)
"""HIBURAN, HOBI & OLAHRAGA""",うた,歌,Lagu (vokal / nyanyian)
EKONOMI & FINANSIAL,けいざい,経済,Ekonomi
EKONOMI & FINANSIAL,あんしょうばんごう,暗証番号,PIN
EKONOMI & FINANSIAL,きんがく,金額,Jumlah uang
EKONOMI & FINANSIAL,げんきん,現金,Cash
